unnamed:_0.1,unnamed:_0,restaurant_name,restaurant_type,rate_out_of_5,num_of_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local_address
1692,1692,Dalma,Casual Dining,3.9,475,6000,Yes,No,Oriya,"Byresandra,Tavarekere,Madiwala",Koramangala 6th Block
1693,1693,Dambal'S Veg,Quick Bites,3.2,11,2500,Yes,No,South Indian,Malleshwaram,Yeshwantpur
1694,1694,Damodar Seth,Casual Dining,3.1,152,6000,Yes,No,Bengali,Brookefield,Marathahalli
1695,1695,Danapani,Casual Dining,3.8,59,4000,No,No,North Indian,Bannerghatta Road,JP Nagar
1696,1696,Dande Hyderabad Biryani,Quick Bites,2.8,40,5000,Yes,No,Biryani,Electronic City,Electronic City
1697,1697,Dande'S Hyderabad Biryani,Casual Dining,3.0,255,5500,Yes,No,Biryani,Hsr,Bommanahalli
1698,1698,Daniyal'S,Casual Dining,3.5,178,8000,Yes,No,North Indian,Brookefield,Marathahalli
1699,1699,Danny Lambas Punjabi Dhaba,Casual Dining,3.5,98,6000,Yes,No,North Indian,Brigade Road,Indiranagar
1700,1700,Darbar,Bar,3.0,98,8000,No,No,North Indian,Banashankari,Banashankari
1702,1702,Darjeeling Momo Adda,Quick Bites,3.1,81,2000,Yes,No,Chinese,Bannerghatta Road,Bannerghatta Road
1703,1703,Darjeeling Momos & Fast Food Center,Quick Bites,3.8,37,2500,Yes,No,Fast Food,Bannerghatta Road,Bannerghatta Road
1704,1704,Darshan Paradise Restaurant,Quick Bites,2.8,40,2500,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",BTM
1705,1705,Daryaganj Chowk,Quick Bites,3.1,13,4000,No,No,North Indian,Malleshwaram,Sanjay Nagar
1706,1706,Dasaprakash Cafe,Cafe,3.1,10,4000,No,No,Cafe,Brigade Road,MG Road
1707,1707,Dash In,Casual Dining,3.1,53,6000,No,No,North Indian,"Byresandra,Tavarekere,Madiwala",BTM
1708,1708,Dashabhuja Kitchen & Catering,"Takeaway, Delivery",3.0,12,4000,Yes,No,North Indian,Old Airport Road,Thippasandra
1709,1709,Dastarkhan,Quick Bites,2.8,40,4000,No,No,Mughlai,Bannerghatta Road,Bannerghatta Road
1710,1710,Davanagere Bene Dosa Hotel,Quick Bites,3.3,4,1000,No,No,South Indian,Malleshwaram,Rajajinagar
1711,1711,Davanagere Benne Dosa,Quick Bites,2.8,40,1500,No,No,South Indian,Basavanagudi,Jayanagar
1712,1712,Davanagere Benne Dosa Hotel,Quick Bites,3.1,19,1500,Yes,No,South Indian,Marathahalli,Kaggadasapura
1713,1713,Davanagere Benne Dose,Quick Bites,3.9,106,1500,Yes,No,South Indian,"Byresandra,Tavarekere,Madiwala",HSR
1714,1714,Davanagere Benne Dose Hut,Quick Bites,3.4,10,1000,Yes,No,South Indian,Banashankari,Banashankari
1715,1715,Davanagere Butter Dosa Hotel,Quick Bites,3.7,43,1500,No,No,South Indian,Rajajinagar,Basaveshwara Nagar
1716,1716,Davangere Benna Dose Hotel,Quick Bites,4.1,90,1000,Yes,No,South Indian,Basavanagudi,Jayanagar
1717,1717,Davangere Butter Dosa Hotel,Quick Bites,3.8,25,1500,Yes,No,South Indian,Banashankari,Kumaraswamy Layout
1718,1718,David'S Kitchen,Quick Bites,3.5,12,2000,Yes,No,North Indian,Basavanagudi,BTM
1719,1719,Davis Bar And Restaurant,Bar,3.0,31,7000,No,No,North Indian,Kalyan Nagar,Kammanahalli
1720,1720,Dawat,Quick Bites,3.5,57,4000,Yes,No,North Indian,Brookefield,Marathahalli
1721,1721,Dawat E Biryani,Quick Bites,2.8,40,2000,No,No,Biryani,Koramangala 4Th Block,Koramangala 1st Block
1722,1722,Dawat Midnight Express,"Takeaway, Delivery",3.1,29,4500,Yes,No,North Indian,Brookefield,Marathahalli
1723,1723,Day N Night Kitchen,Delivery,3.2,35,4500,No,No,Biryani,Bannerghatta Road,BTM
1724,1724,Dazu Momoz,Kiosk,3.1,8,2000,Yes,No,Tibetan,Bannerghatta Road,Bannerghatta Road
1725,1725,D'Brooks,Quick Bites,3.4,8,4000,Yes,No,North Indian,Brookefield,Brookefield
1726,1726,D'Cafe,Cafe,3.8,16,5000,No,No,Cafe,Indiranagar,Domlur
1727,1727,De Grand,Casual Dining,3.3,70,6000,Yes,No,North Indian,Kalyan Nagar,Hennur
1728,1728,De Grand Restaurant,Quick Bites,3.8,257,6000,Yes,No,North Indian,Kalyan Nagar,Banaswadi
1729,1729,De Oxford Cafe,Cafe,3.7,34,5000,No,No,Cafe,Bannerghatta Road,JP Nagar
1730,1730,De Ranthal,Quick Bites,3.8,33,3000,No,No,Kerala,Hsr,HSR
1731,1731,De Street Cafe,Cafe,3.6,61,5000,No,No,Cafe,"Byresandra,Tavarekere,Madiwala",BTM
1732,1732,De Thaali,Casual Dining,3.9,144,5500,Yes,No,North Indian,Jayanagar,Jayanagar
1733,1733,De3 - The Eatery,Food Truck,3.1,13,2500,No,No,Fast Food,Kalyan Nagar,North Bangalore
1734,1734,Debby'S Kitchen,Quick Bites,3.6,16,2500,Yes,No,Modern Indian,Church Street,Frazer Town
1735,1735,Deccan House,Quick Bites,4.0,409,3500,Yes,No,Hyderabadi,Malleshwaram,New BEL Road
1736,1736,Deccan Kitchen,Casual Dining,3.6,31,7000,Yes,No,South Indian,Marathahalli,Marathahalli
1737,1737,Deccan Spice,Casual Dining,3.5,65,7500,No,No,North Indian,Bannerghatta Road,JP Nagar
1738,1738,Deccan Spices,Quick Bites,3.7,23,5000,Yes,No,Biryani,Brigade Road,Richmond Road
1739,1739,Decker'S Lane,Quick Bites,2.1,242,4000,Yes,No,Bengali,Brookefield,Marathahalli
1740,1740,Deejas Kitchen,"Takeaway, Delivery",3.9,73,4000,Yes,No,South Indian,Bannerghatta Road,Bannerghatta Road
